 	Area	Mean	Min	Max	X	Y
1	0	91	91	91	88.000	276.000
2	0	245	245	245	86.167	186.167
3	0	255	255	255	223.500	163.500
4	0	255	255	255	344.833	228.833
5	0	255	255	255	239.500	295.500
6	0	113	113	113	514.167	258.167
7	0	114	114	114	576.833	167.500
8	0	113	113	113	647.500	206.167
9	0	125	125	125	654.167	314.167
10	0	126	126	126	551.500	352.833
11	0	255	255	255	239.500	474.167
12	0	255	255	255	407.500	394.167
13	0	255	255	255	535.500	448.833
14	0	96	96	96	456.833	608.833
15	0	93	93	93	187.500	688.833
